receiver,receiver_count
Neuron-Excitatory,3
VSMC,3
Neutrophil,3
Neuron-Inhibitory,1
Macrophage,1
VLMC,1
Neuron-MSN,1
OPC,1
Oligodendrocyte,1
Endothelial,1
B cell,1
T cell,1
Microglia,1
Pericyte,1
